Company,Market Price,Change,Last Traded,52 Weeks Low- High,180 day Average,1 year Yield,EPS,P/E Ratio,Dividend,Bonus,Right Share,Market Capitalization
ADBL,684,0.15%,19-05-16 3:00,365.0                                    707.00,577.74,58.33%,11.36 (FY: 072-073 Q: 2),60.21,0.79% (FY: 072-073),15.00% (FY: 072-073),2:1 (FY: 072-073),20776500000
BOK,585,1.04%,24-12-15 3:00,424.0                                    672.00,579.92,3.72%,24.65 (FY: 072-073 Q: 2),23.73,1.37% (FY: 072-073),26.00% (FY: 072-073),Null,11233241370
CBL,255,0.79%,25-01-16 3:00,238.0                                    319.00,248.67,-12.07%,8.61 (FY: 072-073 Q: 3),29.62,0.36% (FY: 072-073),6.75% (FY: 072-073),Null,5100000000
CTBNL,215,9.69%,10-11-13 3:00,0,,Null,Null,Null,Null,2.00% (FY: 069-070),Null,4300000000
CZBIL,805,-0.98%,19-05-16 3:00,365.0                                    823.00,656.59,76.54%,31.53 (FY: 072-073 Q: 3),25.53,1.05% (FY: 071-072),20.00% (FY: 071-072),10:4 (FY: 071-072),19102649195
EBL,2892,-0.62%,19-05-16 3:00,1728.0                                    3430.00,2464.55,35.58%,61.47 (FY: 072-073 Q: 3),47.05,6.58% (FY: 071-072),30.00% (FY: 071-072),Null,57047233392
GBIME,498,0.81%,19-05-16 3:00,375.0                                    578.00,451.1,8.26%,22.33 (FY: 072-073 Q: 3),22.3,4.00% (FY: 070-071),23.00% (FY: 071-072),Null,14571214566
GRAND,184,-0.54%,29-01-15 3:00,0,,Null,14.91 (FY: 072-073 Q: 2),12.34,4.75% (FY: 069-070),4.12% (FY: 067-068),Null,3680096416
HBL,1490,-0.93%,19-05-16 3:00,718.0                                    1504.00,1143.11,79.52%,39.10 (FY: 072-073 Q: 3),38.11,7.11% (FY: 071-072),35.00% (FY: 071-072),7:1 (FY: 071-072),49657228510
JBNL,375,5.04%,22-09-15 3:00,226.0                                    375.00,,40.45%,14.67 (FY: 072-073 Q: 3),25.56,5.42% (FY: 069-070),3.00% (FY: 069-070),Null,7725000000
KBL,385,-1.03%,13-01-16 3:00,308.0                                    480.00,389.24,1.32%,19.43 (FY: 072-073 Q: 3),19.81,0.58% (FY: 071-072),11.00% (FY: 071-072),Null,9357281780
KIST,207,0.98%,03-04-14 3:00,0,,Null,Null,Null,Null,Null,Null,4140000000
LBL,735,3.23%,19-05-16 3:00,393.0                                    735.00,597.92,38.68%,19.31 (FY: 072-073 Q: 3),38.06,1.05% (FY: 070-071),20.00% (FY: 070-071),10:3 (FY: 071-072),17183064465
LUBL,401,0.50%,24-12-15 3:00,295.0                                    426.00,381.44,17.94%,18.14 (FY: 072-073 Q: 2),22.11,5.00% (FY: 070-071),15.00% (FY: 072-073),Null,8023341132
MBL,,Null,14-04-16 3:00,647,,-100.00%,24.30 (FY: 072-073 Q: 2),Null,0.84% (FY: 072-073),16.00% (FY: 072-073),2:1 (FY: 072-073),Null
MEGA,395,2.33%,28-01-15 3:00,0,,Null,15.62 (FY: 072-073 Q: 2),25.29,0.53% (FY: 071-072),10.00% (FY: 071-072),25 (FY: 071-072),9203500000
NABIL,2281,0.48%,19-05-16 3:00,1602.0                                    2700.00,2001.83,19.93%,58.11 (FY: 072-073 Q: 3),39.25,6.48% (FY: 071-072),30.00% (FY: 071-072),Null,83376528501
NBB,698,0.87%,19-05-16 3:00,399.0                                    699.00,521.33,43.03%,31.00 (FY: 072-073 Q: 3),22.52,1.32% (FY: 071-072),25.00% (FY: 071-072),Null,16979342788
NBL,482,1.05%,19-05-16 3:00,237.0                                    489.00,356.46,65.07%,42.43 (FY: 072-073 Q: 2),11.36,Null,Null,10:2.3743198339094 (FY: 072-073),19280000000
NCCB,363,-4.22%,26-11-15 3:00,363.0                                    615.00,380,-35.52%,24.42 (FY: 072-073 Q: 2),14.86,0.84% (FY: 071-072),16.00% (FY: 072-073),Null,5327790930
NIB,1080,-0.92%,19-05-16 3:00,603.0                                    1208.00,894.62,52.11%,33.67 (FY: 072-073 Q: 3),32.08,1.74% (FY: 071-072),33.00% (FY: 072-073),Null,51478520760
NICA,768,-0.26%,19-05-16 3:00,529.0                                    1052.00,816.25,18.15%,27.18 (FY: 072-073 Q: 2),28.26,2.05% (FY: 071-072),39.00% (FY: 071-072),Null,20415626496
NMB,685,1.48%,19-05-16 3:00,396.0                                    687.00,522.77,35.11%,20.28 (FY: 072-073 Q: 2),33.78,0.42% (FY: 071-072),8.00% (FY: 071-072),Null,13700000000
PCBL,654,Null,19-05-16 3:00,390.0                                    654.00,559.08,46.97%,25.33 (FY: 072-073 Q: 2),25.82,0.95% (FY: 071-072),Null,3:1 (FY: 071-072),16836875532
SANIMA,907,Null,19-05-16 3:00,458.0                                    907.00,745.79,62.25%,29.51 (FY: 072-073 Q: 3),30.74,1.05% (FY: 071-072),20.00% (FY: 071-072),2:1 (FY: 071-072),23128210667
SBI,1770,-0.28%,19-05-16 3:00,765.0                                    1789.00,1485.62,98.88%,40.81 (FY: 072-073 Q: 2),43.37,1.42% (FY: 071-072),27.00% (FY: 071-072),Null,46874051550
SBL,595,0.17%,06-01-16 3:00,565.0                                    890.00,633.48,-13.77%,42.98 (FY: 072-073 Q: 3),13.84,1.05% (FY: 071-072),20.00% (FY: 071-072),Null,12085521000
SCB,2942,0.34%,19-05-16 3:00,1640.0                                    3595.00,2792.83,49.72%,54.45 (FY: 072-073 Q: 2),54.03,19.21% (FY: 072-073),25.00% (FY: 072-073),Null,65995502980
SRBL,594,Null,19-05-16 3:00,323.0                                    600.00,463.6,47.76%,22.60 (FY: 072-073 Q: 2),26.28,1.13% (FY: 071-072),21.50% (FY: 072-073),100:15 (FY: 071-072),13285701000
CCBL,420,5.26%,19-05-16 3:00,252.0                                    420.00,345.11,34.19%,10.91 (FY: 072-073 Q: 3),38.5,0.47% (FY: 071-072),9.00% (FY: 072-073),4:1 (FY: 071-072),8400000000
BOAN,228,-2.98%,28-06-12 3:00,0,,Null,Null,Null,Null,Null,Null,4560000000
PBL,,Null,,0,,Null,21.64 (FY: 071-072 Q: 3),Null,Null,Null,Null,Null
PRVU,415,Null,30-09-15 3:00,280.0                                    470.00,,20.29%,14.46 (FY: 072-073 Q: 3),28.7,Null,Null,Null,Null
