Country,Category,Gold,Silver,Bronze
AFG,Male,0,0,1
AFG,Female,0,0,0
AHO,Male,0,1,0
AHO,Female,0,0,0
ALG,Male,2,2,7
ALG,Female,2,0,1
ANZ,Male,19,3,5
ANZ,Female,1,1,0
ARG,Male,68,64,51
ARG,Female,0,19,37
ARM,Male,1,1,7
ARM,Female,0,0,0
AUS,Male,148,236,263
AUS,Female,145,133,150
AUT,Male,17,77,31
AUT,Female,4,4,13
AZE,Male,3,3,6
AZE,Female,1,0,3
BAH,Male,2,4,4
BAH,Female,7,5,1
BAR,Male,0,0,1
BAR,Female,0,0,0
BDI,Male,1,0,0
BDI,Female,0,0,0
BEL,Male,88,161,141
BEL,Female,3,6,9
BER,Male,0,0,1
BER,Female,0,0,0
BLR,Male,8,13,24
BLR,Female,6,12,29
BOH,Male,0,1,5
BOH,Female,0,0,1
BRA,Male,44,86,132
BRA,Female,15,53,42
BUL,Male,40,94,80
BUL,Female,13,48,56
BWI,Male,0,0,5
BWI,Female,0,0,0
CAN,Male,122,145,144
CAN,Female,32,66,83
CHI,Male,3,8,21
CHI,Female,0,1,0
CHN,Male,95,75,48
CHN,Female,139,177,145
CIV,Male,0,1,0
CIV,Female,0,0,0
CMR,Male,18,1,1
CMR,Female,2,0,0
COL,Male,0,3,3
COL,Female,1,0,4
CRC,Male,0,0,0
CRC,Female,1,1,2
CRO,Male,31,29,15
CRO,Female,0,1,3
CUB,Male,116,107,76
CUB,Female,44,19,33
CZE,Male,6,13,10
CZE,Female,4,5,3
DEN,Male,95,177,130
DEN,Female,52,15,22
DJI,Male,0,0,1
DJI,Female,0,0,0
DOM,Male,2,1,1
DOM,Female,0,0,0
ECU,Male,1,1,0
ECU,Female,0,0,0
EGY,Male,7,7,10
EGY,Female,0,0,0
ERI,Male,0,0,1
ERI,Female,0,0,0
ESP,Male,63,171,81
ESP,Female,29,22,11
EST,Male,8,9,19
EST,Female,1,0,0
ETH,Male,12,4,9
ETH,Female,6,2,5
EUA,Male,57,75,73
EUA,Female,11,25,19
EUN,Male,59,38,32
EUN,Female,33,27,34
FIN,Male,120,114,208
FIN,Female,4,4,1
FRA,Male,345,431,427
FRA,Female,33,30,48
FRG,Male,110,128,137
FRG,Female,33,39,43
GBR,Male,455,494,387
GBR,Female,43,97,118
GDR,Male,169,150,137
GDR,Female,160,121,88
GEO,Male,5,2,10
GEO,Female,0,0,1
GER,Male,301,250,298
GER,Female,106,100,156
GHA,Male,0,1,15
GHA,Female,0,0,0
GRE,Male,29,42,37
GRE,Female,5,20,12
GUY,Male,0,0,1
GUY,Female,0,0,0
HAI,Male,0,1,7
HAI,Female,0,0,0
HKG,Male,0,2,0
HKG,Female,1,0,0
HUN,Male,349,218,251
HUN,Female,51,90,94
INA,Male,8,6,8
INA,Female,1,8,4
IND,Male,128,16,33
IND,Female,0,0,1
IOP,Male,0,0,1
IOP,Female,0,1,1
IRI,Male,11,15,22
IRI,Female,0,0,0
IRL,Male,5,7,7
IRL,Female,3,1,1
IRQ,Male,0,0,1
IRQ,Female,0,0,0
ISL,Male,0,15,1
ISL,Female,0,0,1
ISR,Male,1,0,5
ISR,Female,0,1,0
ISV,Male,0,1,0
ISV,Female,0,0,0
ITA,Male,418,345,346
ITA,Female,42,49,28
JAM,Male,13,18,16
JAM,Female,10,22,23
JPN,Male,148,150,196
JPN,Female,58,78,74
KAZ,Male,8,14,12
KAZ,Female,1,2,2
KEN,Male,24,25,24
KEN,Female,2,6,0
KGZ,Male,0,1,2
KGZ,Female,0,0,0
KOR,Male,75,83,83
KOR,Female,65,108,52
KSA,Male,0,1,1
KSA,Female,0,0,0
KUW,Male,0,0,1
KUW,Female,0,0,0
LAT,Male,2,10,4
LAT,Female,0,1,0
LIB,Male,0,2,2
LIB,Female,0,0,0
LTU,Male,3,2,39
LTU,Female,1,2,3
LUX,Male,1,1,0
LUX,Female,0,0,0
MAR,Male,5,4,8
MAR,Female,1,1,2
MAS,Male,0,3,3
MAS,Female,0,0,0
MDA,Male,0,3,3
MDA,Female,0,0,0
MEX,Male,12,15,42
MEX,Female,2,3,6
MGL,Male,2,6,9
MGL,Female,0,1,1
MKD,Male,0,0,1
MKD,Female,0,0,0
MOZ,Male,0,0,0
MOZ,Female,1,0,1
MRI,Male,0,0,1
MRI,Female,0,0,0
NAM,Male,0,4,0
NAM,Female,0,0,0
NED,Male,113,148,207
NED,Female,99,102,113
NGR,Male,18,32,16
NGR,Female,1,6,11
NIG,Male,0,0,1
NIG,Female,0,0,0
NOR,Male,158,163,108
NOR,Female,36,36,36
NZL,Male,68,22,52
NZL,Female,8,5,9
PAK,Male,42,45,34
PAK,Female,0,0,0
PAN,Male,1,0,2
